year_city,city,country,avg_temp_city,year_glob,avg_temp_glob
1897,Athens,Greece,16.91,1897,8.29
1898,Athens,Greece,17.57,1898,8.18
1899,Athens,Greece,17.40,1899,8.40
1900,Athens,Greece,17.71,1900,8.50
1901,Athens,Greece,17.57,1901,8.54
1902,Athens,Greece,17.36,1902,8.30
1903,Athens,Greece,17.07,1903,8.22
1904,Athens,Greece,17.11,1904,8.09
1905,Athens,Greece,17.10,1905,8.23
1906,Athens,Greece,17.07,1906,8.38
1907,Athens,Greece,16.65,1907,7.95
1908,Athens,Greece,16.75,1908,8.19
1909,Athens,Greece,17.52,1909,8.18
1910,Athens,Greece,17.21,1910,8.22
1911,Athens,Greece,16.88,1911,8.18
1912,Athens,Greece,17.19,1912,8.17
1913,Athens,Greece,16.90,1913,8.30
1914,Athens,Greece,16.91,1914,8.59
1915,Athens,Greece,17.65,1915,8.59
1916,Athens,Greece,18.30,1916,8.23
1917,Athens,Greece,17.59,1917,8.02
1918,Athens,Greece,17.63,1918,8.13
1919,Athens,Greece,17.40,1919,8.38
1920,Athens,Greece,16.88,1920,8.36
1921,Athens,Greece,16.95,1921,8.57
1922,Athens,Greece,17.86,1922,8.41
1923,Athens,Greece,17.98,1923,8.42
1924,Athens,Greece,17.68,1924,8.51
1925,Athens,Greece,17.70,1925,8.53
1926,Athens,Greece,18.12,1926,8.73
1927,Athens,Greece,18.53,1927,8.52
1928,Athens,Greece,17.77,1928,8.63
1929,Athens,Greece,17.18,1929,8.24
1930,Athens,Greece,17.92,1930,8.63
1931,Athens,Greece,17.67,1931,8.72
1932,Athens,Greece,17.69,1932,8.71
1933,Athens,Greece,16.78,1933,8.34
1934,Athens,Greece,18.08,1934,8.63
1935,Athens,Greece,18.09,1935,8.52
1936,Athens,Greece,17.90,1936,8.55
1937,Athens,Greece,18.40,1937,8.70
1938,Athens,Greece,17.62,1938,8.86
1939,Athens,Greece,18.03,1939,8.76
1940,Athens,Greece,17.13,1940,8.76
1941,Athens,Greece,17.51,1941,8.77
1942,Athens,Greece,17.38,1942,8.73
1943,Athens,Greece,17.69,1943,8.76
1944,Athens,Greece,17.47,1944,8.85
1945,Athens,Greece,17.70,1945,8.58
1946,Athens,Greece,18.29,1946,8.68
1947,Athens,Greece,18.39,1947,8.80
1948,Athens,Greece,17.18,1948,8.75
1949,Athens,Greece,16.87,1949,8.59
1950,Athens,Greece,18.08,1950,8.37
1951,Athens,Greece,18.13,1951,8.63
1952,Athens,Greece,18.61,1952,8.64
1953,Athens,Greece,17.04,1953,8.87
1954,Athens,Greece,17.50,1954,8.56
1955,Athens,Greece,18.12,1955,8.63
1956,Athens,Greece,17.12,1956,8.28
1957,Athens,Greece,17.57,1957,8.73
1958,Athens,Greece,17.94,1958,8.77
1959,Athens,Greece,16.98,1959,8.73
1960,Athens,Greece,18.24,1960,8.58
1961,Athens,Greece,17.85,1961,8.80
1962,Athens,Greece,18.19,1962,8.75
1963,Athens,Greece,18.08,1963,8.86
1964,Athens,Greece,17.19,1964,8.41
1965,Athens,Greece,17.34,1965,8.53
1966,Athens,Greece,18.37,1966,8.60
1967,Athens,Greece,17.49,1967,8.70
1968,Athens,Greece,17.70,1968,8.52
1969,Athens,Greece,17.59,1969,8.60
1970,Athens,Greece,17.80,1970,8.70
1971,Athens,Greece,17.27,1971,8.60
1972,Athens,Greece,17.28,1972,8.50
1973,Athens,Greece,17.41,1973,8.95
1974,Athens,Greece,17.34,1974,8.47
1975,Athens,Greece,17.41,1975,8.74
1976,Athens,Greece,16.79,1976,8.35
1977,Athens,Greece,17.80,1977,8.85
1978,Athens,Greece,17.40,1978,8.69
1979,Athens,Greece,17.80,1979,8.73
1980,Athens,Greece,17.34,1980,8.98
1981,Athens,Greece,17.69,1981,9.17
1982,Athens,Greece,17.11,1982,8.64
1983,Athens,Greece,17.09,1983,9.03
1984,Athens,Greece,17.53,1984,8.69
1985,Athens,Greece,17.82,1985,8.66
1986,Athens,Greece,17.82,1986,8.83
